Sample	lat	long
MAB22_02638	39.295	-73.420425
MAB22_02757	39.295	-73.420425
MAB22_02822	39.295	-73.420425
MAB22_02889	39.295	-73.420425
MAB22_02957	39.295	-73.420425
MAB22_02959	39.295	-73.420425
MAB22_03373	39.525883	-73.780033
MAB22_03483	39.525883	-73.780033
MAB22_03484	39.525883	-73.780033
MAB22_03512	39.564858	-73.75800000000001
MAB22_03590	39.564858	-73.75800000000001
MAB22_03597	39.564858	-73.75800000000001
MAB22_03604	39.538483	-73.703284
MAB22_03687	39.538483	-73.703284
MAB22_03707	39.538483	-73.703284
MAB22_03736	39.558375	-73.67875
MAB22_03765	39.558375	-73.67875
MAB22_03809	39.558375	-73.67875
MAB22_03824	39.558375	-73.67875
MAB22_04410	40.04935	-73.821834
MAB22_04427	39.997242	-73.534817
MAB22_04444	39.997242	-73.534817
MAB22_04450	39.997242	-73.534817
MAB22_04536	39.997242	-73.534817
MAB22_04559	39.927875	-73.56035
MAB22_04563	39.927875	-73.56035
MAB22_04603	39.927875	-73.56035
MAB22_04648	39.927875	-73.56035
MAB22_04655	39.927875	-73.56035
MAB22_05391	39.644167	-73.612067
MAB22_05392	39.644167	-73.612067
MAB22_05397	39.644167	-73.612067
MAB22_05398	39.644167	-73.612067
MAB22_05467	39.644167	-73.612067
MAB22_05482	39.644167	-73.612067
MAB22_05490	39.644167	-73.612067
MAB22_05624	39.454159	-73.609625
MAB22_05661	39.454159	-73.609625
MAB22_05763	39.454159	-73.609625
MAB22_05788	39.454159	-73.609625
MAB22_05795	39.454159	-73.609625
MAB22_05814	39.454159	-73.609625
MAB22_05826	39.454159	-73.609625
MAB22_05839	39.363934	-73.635333
MAB22_05860	39.363934	-73.635333
MAB22_05893	39.363934	-73.635333
MAB22_05917	39.363934	-73.635333
MAB22_05952	39.363934	-73.635333
MAB22_06029	39.363934	-73.635333
MAB22_06571	39.189125	-73.76575
MAB22_06578	39.189125	-73.76575
MAB22_06647	39.189125	-73.76575
MAB22_06691	39.189125	-73.76575
MAB22_06710	39.189125	-73.76575
MAB22_06713	39.189125	-73.76575
MAB22_06747	39.189125	-73.76575
MAB22_06779	39.189125	-73.76575
MAB22_07043	39.093709	-73.744009
MAB22_07044	39.093709	-73.744009
MAB22_07049	39.093709	-73.744009
MAB22_07056	39.093709	-73.744009
MAB22_07092	39.093709	-73.744009
MAB22_07926	38.99685	-73.874425
MAB22_08024	38.99685	-73.874425
MAB22_09575	38.661359	-73.865009
MAB22_09577	38.661359	-73.865009
MAB22_09590	38.661359	-73.865009
MAB22_09611	38.811642	-74.153175
MAB22_09612	38.811642	-74.153175
MAB22_09614	38.811642	-74.153175
MAB22_09678	38.811642	-74.153175
MAB22_10006	38.628359	-74.290284
MAB22_10035	38.628359	-74.290284
MAB22_10037	38.628359	-74.290284
MAB22_10040	38.628359	-74.290284
MAB22_10193	36.668542	-75.423092
MAB22_10194	36.668542	-75.423092
MAB22_10200	36.620733	-75.086892
MAB22_10201	36.620733	-75.086892
MAB22_10213	36.620733	-75.086892
MAB22_10219	36.620733	-75.086892
MAB22_10220	36.620733	-75.086892
MAB22_10762	36.608	-75.018534
MAB22_10763	36.608	-75.018534
MAB22_10764	36.608	-75.018534
MAB22_10773	36.608	-75.018534
MAB22_11137	36.608	-75.018534
MAB22_11194	36.692884	-74.932192
MAB22_11233	36.692884	-74.932192
MAB22_11256	36.692884	-74.932192
MAB22_11262	36.692884	-74.932192
MAB22_11310	36.692884	-74.932192
MAB22_11533	36.789492	-74.937092
MAB22_11535	36.789492	-74.937092
MAB22_11536	36.789492	-74.937092
MAB22_11537	36.789492	-74.937092
MAB22_11541	36.789492	-74.937092
MAB22_11546	36.789492	-74.937092
MAB22_11707	36.789492	-74.937092
MAB22_11835	36.882467	-74.818525
MAB22_11838	36.882467	-74.818525
MAB22_11840	36.882467	-74.818525
