sample_seq_id	raw_reads
413_001	1260797
413_002	4677759
413_003	4862075
413_004	1089690
413_005	1228292
413_006	4863488
413_007	3562411
413_008	3682614
413_009	4346856
413_010	3421957
413_011	3127170
413_012	3855803
413_013	3494888
413_014	4286548
413_015	3613083
413_016	3352505
413_017	914569
413_018	3925601
413_019	3211452
413_020	3704814
413_021	2983352
413_022	3926564
413_023	1038550
413_024	4056390
413_025	951978
413_026	4313454
413_027	4537642
413_028	1001498
413_029	4689289
413_030	4535358
413_031	3718848
413_032	3225433
413_033	1970614
413_034	3291188
413_035	3225804
413_036	3282049
413_037	3194781
413_038	5577014
413_039	5168235
413_040	4136970
413_041	1329088
413_042	5295712
413_043	4739235
413_044	5023521
413_045	4521915
413_046	5440057
413_047	4332462
413_048	1196739
413_049	1072265
413_050	4716191
536_001	4390416
536_003	4660923
536_004	1089724
536_005	4318463
536_006	3998171
536_007	2392342
536_008	4552787
536_009	3736189
536_010	5040977
536_011	3967859
536_012	4279070
536_013	3789789
536_014	4222760
536_015	2249083
536_016	3078499
536_017	3922389
536_018	2711254
536_019	3342238
536_020	3646489
536_021	2961033
536_022	3475871
536_024	3344392
536_025	2564495
536_026	2530174
536_029	1948414
BAR_001	4036131
BAR_002	1652531
BAR_003	1125321
BAR_004	4070601
BAR_005	3928272
BAR_006	3981087
BAR_007	3241264
BAR_008	6192668
BAR_009	5435281
BAR_010	4867132
BLP_179n	3802576
BLP_190	3994552
BLP_191	4593634
BLP_192	4187666
BLP_193	4484370
BLP_194	1412479
BLP_195	3898717
BLP_198n	2399230
BLP_199n	4033338
BLP_212	4033687
BLP_213	3380013
BLP_231	3662092
BLP_233	3815613
BLP_234	3380338
BLP_237	1705030
BRW_001	4412791
BRW_002	1440733
BRW_003	4815959
BRW_004	5080534
BRW_005	1835100
CGC_001	6887754
CGC_002	4122243
CGC_003	5768290
CGC_004	2188090
CGC_005	3797413
CGC_006	4222506
CGC_007	3682579
CGC_008	4235785
CGC_009	1355660
CGC_010	3531564
CGC_011	2970428
CTM_008	2368467
FNJ_001	7217880
FNJ_002	6038110
FNJ_003	1729446
FNJ_004	1315803
FNJ_005	2448657
FNJ_006	4409638
FNJ_007	4508509
FNJ_008	3592746
FNJ_009	3404781
FNJ_010	3851096
FNJ_011	5793382
FNJ_012	5999932
FNJ_013	2163428
FNJ_014	6972782
FNJ_015	3486453
FNJ_016	5285661
FNJ_017	5154749
FNJ_018	1130634
FNJ_019	4268391
FNJ_020	4717163
FNJ_021	2093598
FNJ_022	2237024
FNJ_023	4191337
FNJ_024	3259879
FNJ_025	3756558
FNJ_026	2128431
FNJ_027	8129159
FNJ_030	4455967
FNJ_031	3364777
FNJ_032	2809490
FNJ_033	1395499
FNJ_034	3200817
FNJ_035	3801332
FNJ_036	1315337
FNJ_037	3235696
FNJ_038	3433370
FNJ_039	5490786
FNJ_040	5905119
FNJ_041	1281602
FNJ_042	4601412
FNJ_043	3944952
FNJ_044	2297650
FNJ_045	1830375
FNJ_046	1377834
FNJ_047	4830633
FNJ_048	4925057
FNJ_049	1160032
FNJ_050	5038864
FNJ_051	4030560
GBE_028	1990962
GBE_171	5115221
GBE_172	3901096
GBE_182	2955558
GBE_183	3144677
GBE_184	1087519
GBE_191	3540836
GBE_192	4856477
GBE_193	1532218
GBE_194	3375260
GBE_195	2442626
GBE_196	4286353
GBE_201	4132430
GBE_203	5017761
GBE_261	4095814
GBE_262	4330652
GBE_263	3220595
GBE_291	3818870
GBE_332	1757433
GBE_333	1639106
GBE_334	5517725
GBE_335	1574541
GBE_336	6324046
GBE_371	5101377
GBE_373	2450890
GBE_381	5290976
GBE_382	4968798
GBE_383	2969449
GBE_384	6075832
GBE_385	3746820
GBE_401	3130331
GBE_402	2283969
GBE_441	1585841
GBE_442	3200436
GBE_443	2520343
GBE_471	2668343
GBE_472	2584053
GBE_473	3322467
GBE_481	2825860
GBE_483	1274265
GBE_484	2449412
GBE_521	2385599
GBE_522	3721670
GBE_523	3896409
MAB22_02638	3184295
MAB22_02757	2487962
MAB22_02822	3524823
MAB22_02889	3053941
MAB22_02957	1288188
MAB22_02959	2802282
MAB22_03373	3239396
MAB22_03483	2709024
MAB22_03484	2095084
MAB22_03512	2371424
MAB22_03590	2584227
MAB22_03597	2514893
MAB22_03604	2907950
MAB22_03687	2431806
MAB22_03707	2763027
MAB22_03736	2456102
MAB22_03765	2808283
MAB22_03824	2446558
MAB22_04410	2829585
MAB22_04427	2426975
MAB22_04444	2652239
MAB22_04450	2457984
MAB22_04536	2308999
MAB22_04559	3276702
MAB22_04563	2127806
MAB22_04603	3070228
MAB22_04648	1552414
MAB22_04655	2638403
MAB22_05392	2441281
MAB22_05397	2677634
MAB22_05467	2495393
MAB22_05482	2651891
MAB22_05490	2504775
MAB22_05661	2347216
MAB22_05763	2635899
MAB22_05788	2441578
MAB22_05839	2732717
MAB22_05860	2939504
MAB22_05917	2683787
MAB22_05952	2859844
MAB22_06029	2698118
MAB22_06571	3418247
MAB22_06578	2691863
MAB22_06647	2718321
MAB22_06691	2722261
MAB22_06710	2469913
MAB22_06747	2923556
MAB22_06779	2531215
MAB22_07043	2406314
MAB22_07049	2904983
MAB22_07056	2507468
MAB22_07092	2622325
MAB22_07926	2472298
MAB22_08024	2622203
MAB22_09577	2521052
MAB22_09590	2723918
MAB22_09611	2498994
MAB22_09612	2896260
MAB22_09678	3474733
MAB22_10006	3095527
MAB22_10035	2737527
MAB22_10037	4541377
MAB22_10040	3853983
MAB22_10200	2905933
MAB22_10213	2865054
MAB22_10219	2237509
MAB22_10220	3156386
MAB22_10762	3114542
MAB22_10763	2343295
MAB22_10764	2613919
MAB22_11194	2780646
MAB22_11233	2400322
MAB22_11256	3320368
MAB22_11262	2975771
MAB22_11310	4404440
MAB22_11533	2532274
MAB22_11537	1644578
MAB22_11541	2250887
MAB22_11546	3649761
MAB22_11707	3241811
MAB22_11835	2961753
MAB22_11838	2691591
MAB22_11840	3023082
MAB22_11856	1718769
MAB22_11858	2946522
MAB22_11860	2626467
MAB22_11861	2431758
MAB22_11863	2304174
MAB22_11865	2366042
MAB22_11868	2607250
MAB22_12095	2544069
MAB22_12096	2463477
MAB22_12113	3171843
MAB22_12116	2611382
MAB22_12125	3095337
MAB22_12127	2572940
MAB22_12130	2435162
MAB22_12134	2513235
MAB22_12173	3101295
MAB22_12174	2807407
MAB22_12176	2570562
MAB22_12212	2461318
MAB22_12237	2686981
MAB22_12494	3138055
MAB22_12537	2954843
MAB22_12602	12325398
MAB22_12697	3045723
MAB22_12705	3186176
MAB22_13195	3281704
MAB22_13230	1164897
MAB22_13233	2873909
MAB22_13238	2877688
MAB22_13245	2542149
MAB22_14131	3341602
MAB22_14148	3124210
MAB22_14151	2770485
MAB22_14161	2911922
MAB22_14229	2602655
MAB22_14461	2904692
MAB22_14509	2633429
MAB22_14542	2781984
MAB22_14543	3140208
MAB22_14545	2974338
MAB22_14547	2824958
MAB22_14557	2818963
MAB22_14561	2507634
MAB22_14928	2887096
MAB22_14941	2656288
MAB22_14947	2957664
MAB22_14954	2734285
MAB22_14955	2508407
MAB22_14958	4499164
MAB22_15450	2728292
MAB22_15455	2587264
MAB22_15457	2456034
MAB22_15459	2232317
MAB22_15806	4719070
MAB22_17243	4418369
MAB22_17246	3921138
MAB22_17620	4495115
MAB22_17626	2998993
MAB22_17650	3132903
MAB22_17672	2661651
MAB22_18643	2998984
MAB22_18704	3027361
MAB22_18737	2893502
MAB22_18760	2859643
MAB22_18763	2420374
MAB22_18774	4383703
MAB22_18793	2786915
MAB22_21224	2892401
MCX_015	1032055
MCX_016	4226341
MCX_017	1557527
MCX_018	1195967
MCX_019	3028929
MCX_020	1205844
MCX_021	1342263
MCX_027	5491800
MCX_029	3575127
MCX_030	1849198
MCX_031	1374246
MCX_032	1350122
MCX_033	1033494
MCX_034	1876337
MCX_035	1877256
MCX_038	1449805
MCX_039	1113945
MCX_046	964961
MCX_047	5239367
MCX_055	4824101
MCX_061	5114713
MCX_062	3820799
MCX_066	1683818
MCX_067	1690468
MCX_068	1111772
MCX_069	2278105
MCX_079	1134297
MCX_080	960297
MCX_084	1222921
MCX_089	4769630
MCX_090	3027769
MCX_091	1417908
MCX_093	1619405
MCX_096	1355559
MW_001	3200901
MW_002	2569531
MW_016	2356212
NAN_001	3513478
NAN_002	2935136
NAN_003	8579830
NAN_007	6696265
NAN_008	7187094
NAN_009	2143839
NAN_010	6934206
NAN_012	2818246
NAN_014	7246327
NAN_019	9143088
NAN_021	6951034
NAN_022	3730341
NAN_023	6573936
NAN_024	7349571
NAN_025	5318155
NAN_026	5391309
NAN_028	2350717
NAN_031	6141873
NAN_033	4086664
NAN_034	6182790
NAN_036	2084219
NAN_038	5420698
NAN_039	4966935
NAN_041	6322865
NAN_042	4678633
NAN_045	5438978
NAN_046	4105636
NAN_048	5730434
NAN_049	1921417
NAN_050	7548327
PLY_001	5399042
PLY_002	4589963
PLY_003	3809872
PLY_004	1187852
PLY_005	4630360
PLY_006	3185185
PLY_007	1661489
PLY_008	3396973
PLY_009	3557586
PLY_010	2968585
PT_003	5427557
PT_006	5883650
PT_008	7589914
PT_009	8063065
PT_010	6538266
PT_011	4687791
PT_012	1840244
PT_013	6334524
PT_014	1567837
PT_016	2023784
PT_017	2799142
PT_018	9202059
PT_019	7680536
PT_01n	3582081
PT_020	3140924
PT_04n	3217995
PT_05n	2632782
PT_07n	3018614
PVT_001	1366988
PVT_002	1105341
PVT_003	1099547
PVT_004	5161179
PVT_005	5298353
PVT_006	5128303
PVT_007	5136190
PVT_008	2897913
PVT_009	1266516
PVT_010	5350234
SHN_102	4203159
SHN_103	1085267
SHN_104	4745249
SHN_151	1599164
SHN_152	1514993
SsLI1101_1	7130623
SsLI1102_1	7630818
SsLI1102_2	9766318
SsLI1102_3	7818652
SsLI1102_4	5734676
SsLI1107_1	2440615
SsLI1107_2	5747082
SsLI1107_3	7799341
SsLI1112_1	4810333
SsLI1112_2	5009610
SsLI1113_4	5321426
SsLI1113_5	7629953
SsLI1116_2	2652660
SsLI1117_2	3679137
SsLI1117_4	2794384
SsLI2101_7	1877218
SsLI2107_1	4632561
SsLI2107_2	5497452
SsLI2108_1	3338096
SsLI2108_2n	2963797
SsLI2108_3	2710603
SsLI2109_2	4966603
SsLI2109_3	6699366
SsLI2109_4	5021137
SsLI3105_2	8412907
SsLI3105_3	1914895
SsLI3105_5	8480788
SsLI3109_1	6639855
SsLI3109_2	5432063
SsLI3109_3	5799088
SsLI3109_4	8563233
SsLI3109_5	4817899
SsLI4106_1	5045351
SsLI4106_2	3301472
SsLI4106_3	4499668
SsLI4106_4	6374121
SsLI4106_5	5845518
SsLI4109_1	7255978
SsLI4109_3n	3024034
SsLI4121_2	8461723
SsLI4121_3	5777389
SsLI4121_4	3014538
SsLI4121_5	10690916
SsLI4129_1	8035921
SsLI4129_2	4021268
SsLI4129_3	2097631
SsLI4139_1	6073156
SsLI4146_1	5299213
SsLI4146_2	7625564
WV1_001	2986764
WV1_002	5667726
WV1_003	3332687
WV1_004	3298560
WV1_005	3177669
WV1_006	2501385
WV1_007	1188159
WV1_008	1802012
WV1_009	2625970
WV1_010	3933835
WV5_001	3608451
WV5_002	3261113
WV5_003	3594580
WV5_004	4973753
WV5_005	2672572
WV5_006	1255820
WV5_007	4669727
WV5_008	2554231
WV5_009	3876953
WV5_010	3192883
Runtime: 0:58:22 (hh:mm:ss)
