bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
413_001	17.9015397653586	82.8807361618922	31.7624208724181	14.3671883022416	2	0.563607536001943
413_002	64.4517920799618	329.7020820485	96.8824757119894	51.3188878323356	21	0.665257484455296
413_003	67.2091563251659	317.2219317529	100.146110319315	53.7315523499604	21	0.671111000825329
413_004	15.6636378448995	79.7241017481566	28.5747858685416	12.6277061016964	1	0.548162912469705
413_005	17.5907314027906	92.5938361771387	31.4107652823906	14.0872917404668	2	0.560022375916151
413_006	66.6881590586573	336.529608156131	99.6701039354888	53.0589962592638	21	0.669088888497825
413_007	48.1613892387748	249.739209354129	72.5193126190961	38.4045512656358	17	0.66411811556653
413_008	50.2363033603979	274.544092542618	75.6366271289913	39.9418349224345	17	0.664179581603032
413_009	59.0711420313576	413.28697831121	88.9534562145612	46.7991785088713	21	0.664067980550146
413_010	46.4966365227799	277.63874431591	70.1336716893347	36.9057495930353	16	0.662971656877467
413_011	42.2881680348499	236.148037910475	63.4290619972828	33.2617003878349	14	0.666700195513904
413_012	52.5201847247441	284.165585116586	78.6286450999989	41.9267815018915	18	0.667952304887746
413_013	47.6188919629648	291.01146909751	71.4181817456814	37.7141147735876	16	0.66676147164504
413_014	58.8462711005451	310.536216638186	87.5802558252765	47.2202929484014	19	0.671912528069596
413_015	48.7265193726867	265.894568788766	72.9058615404273	38.333973937616	17	0.668348447479329
413_016	45.2009010123383	238.015661386512	68.1369284386498	35.8088815172129	16	0.663383308407199
413_017	13.1178596373988	63.0754813217648	24.0368507570952	10.5499217250132	1	0.545739530105761
413_018	53.459560032316	272.811562570041	76.1471706483327	42.5604592744729	18	0.702055763558199
413_019	43.2970965621941	226.01416572664	65.1727896028291	34.3741415252653	16	0.664343153424165
413_020	50.2892343534742	267.697600566813	75.2895310530971	40.0832680096831	18	0.667944582069566
413_021	40.3118554374531	195.406651185545	60.5805701775322	32.1304187523757	15	0.665425487401615
413_022	53.3270025425815	268.09059105337	79.9195910674132	42.6089473777704	18	0.667258200778333
413_023	14.8647349661719	75.7086606819133	26.3640678144968	11.9059297210235	2	0.563825547361069
413_024	54.9824579983128	284.788965415329	81.9009578124272	43.7635134528669	19	0.671328632373725
413_025	13.6588060193928	72.246132068877	24.4445145572499	11.0457609169517	2	0.558767734470774
413_026	58.659242801727	290.999515516517	87.7282535664873	46.9067642291754	21	0.668647105316831
413_027	61.7217997812538	302.174229513455	92.1752834697999	49.4104833788512	22	0.669613343814421
413_028	14.3793449556267	68.5491324815433	26.1899366637214	11.5917472141122	1	0.549040844972528
413_029	63.8194538043172	324.182529126457	94.5506184283422	51.2876652118356	22	0.674976587833574
413_030	61.9732413845361	335.5216561422	91.8015585999167	49.4723646263213	20	0.675078313807475
413_031	50.7392185343552	260.779070097823	75.9044662855248	40.2970991694627	16	0.668461567775136
413_032	43.5812677221281	216.602058211002	65.6264504258635	34.627207226165	16	0.664080830813184
413_033	28.2238525316457	140.464197732304	49.5568016889197	22.7619670771316	2	0.569525303687165
413_034	44.6641203311282	247.82242757647	67.0424879139102	35.5488964488198	15	0.66620618835751
413_035	43.87974692198	232.437780685456	66.5163170877848	35.05767554536	16	0.659683951895199
413_036	44.8075678174219	242.975786046871	68.0348540948262	35.4913483462814	15	0.658597250094351
413_037	43.4572019773986	294.552994671604	65.7198856018721	34.9579275705412	15	0.661248898707137
413_038	77.6118045681445	412.226333151106	115.595076570436	61.827730119737	21	0.671410988000386
413_039	72.0710582830976	402.16122620753	107.394141939568	57.9593337008221	21	0.67108928831192
413_040	57.1211653833889	309.192953151009	86.1152066731404	45.4879066233745	17	0.663311017764887
413_041	19.1034111308078	101.159793417398	33.5917361710193	15.3186887424336	2	0.568693771395213
413_042	73.3827499588308	381.807357626555	108.339502823408	58.9758859432957	21	0.677340656421821
413_043	65.7661374299593	464.197965279894	98.3522630777114	52.9795225815004	19	0.668679452530685
413_044	69.6389879386013	337.726325642206	103.476254969882	55.9249573228333	21	0.672994862047046
413_045	62.3953561934626	335.697287662848	93.306399597722	49.8794356673632	19	0.668714648325016
413_046	74.8822894383178	370.748450011557	112.329879990965	59.5573967131676	22	0.666628411285899
413_047	59.8242587898657	289.210153111567	89.729583493159	47.8856204418427	19	0.666717223694974
413_048	17.1860024300308	88.6413643294348	30.6697386883701	13.7764361913076	2	0.560356989169444
413_049	15.4279299011196	81.1263725892685	27.9973203154136	12.3073534221243	2	0.551050233640571
413_050	64.9790660352919	386.830971611603	97.094415344923	51.4327812109145	20	0.669235875250406
536_001	59.2482385327891	337.84780646617	87.3268138981409	46.7631116672062	21	0.67846559250284
536_003	63.0233915933489	333.411392210624	91.5658828768456	49.9133727202217	22	0.688284649404944
536_004	14.9410748339819	77.9785220510214	25.9366267665768	11.9660059420154	2	0.576060833525032
536_005	55.5986422272824	282.70413331785	81.4522344560305	43.8884673311741	20	0.682591982879145
536_006	50.4267755930105	275.121283151228	74.3968765993399	39.9752697241954	19	0.677807697016371
536_007	34.1664882611284	171.355993776011	56.2934692176032	27.3635135358909	3	0.606935204669241
536_008	60.8136766932034	344.064272403055	90.3367981602691	48.2068663174296	20	0.673188312312286
536_009	49.4685867407366	269.480208724454	72.9341139319014	39.077274354563	18	0.678264039608689
536_010	66.1187202885177	333.554056167837	92.9011959127394	52.74590270909	24	0.711710109206979
536_011	52.9782039915336	271.646985057702	73.406535109705	42.1761735423009	19	0.72170963950771
536_012	57.4760389437624	314.481310522464	84.1015407415612	45.8012539405628	21	0.683412437358133
536_013	50.9462189905071	273.977698098364	74.9735873892392	40.3159065018917	19	0.679522225954214
536_014	56.7758267814921	292.161188035707	83.6917258665725	45.0502121473248	22	0.678392352333703
536_015	32.3988320313614	181.702273539651	53.9141322714621	25.8874800309187	3	0.600933941925167
536_016	40.66983724224	228.115454267068	60.835909734414	32.0942907942688	16	0.668516956839954
536_017	52.4000157748031	277.64224247461	77.1815472374901	41.7066355218384	20	0.678918959911104
536_018	36.1190302140682	173.933619230595	54.2922965097479	28.6111115357729	14	0.665269891605816
536_019	44.8339011714786	228.366808878318	64.3665476225841	35.8502918953535	15	0.696540405341607
