Ind	Poss_Paralogs	Low_Coverage/Errors	Miss_Genotype	Total_Failed	Total_Loci	Prop_Success
413_001	71	192	712	975	9738	0.899876771410967
413_002	68	204	242	514	9738	0.947217087697679
413_003	86	217	264	567	9738	0.94177449168207
413_004	75	191	810	1076	9738	0.889505031834052
413_005	71	205	763	1039	9738	0.893304579995892
413_006	92	200	259	551	9738	0.943417539535839
413_007	90	206	276	572	9738	0.941261039227767
413_008	75	210	290	575	9738	0.940952967755186
413_009	80	229	260	569	9738	0.941569110700349
413_010	76	216	257	549	9738	0.94362292051756
413_011	67	218	293	578	9738	0.940644896282604
413_012	94	219	290	603	9738	0.938077634011091
413_013	86	223	298	607	9738	0.937666872047648
413_014	85	233	245	563	9738	0.942185253645512
413_015	79	219	302	600	9738	0.938385705483672
413_016	74	221	254	549	9738	0.94362292051756
413_017	74	200	888	1162	9738	0.880673649620045
413_018	84	221	228	533	9738	0.945265968371329
413_019	88	219	284	591	9738	0.939309919901417
413_020	88	204	287	579	9738	0.940542205791744
413_021	87	223	304	614	9738	0.936948038611625
413_022	63	195	259	517	9738	0.946909016225098
413_023	73	211	871	1155	9738	0.881392483056069
413_024	95	205	284	584	9738	0.940028753337441
413_025	62	213	893	1168	9738	0.880057506674882
413_026	80	220	272	572	9738	0.941261039227767
413_027	83	221	294	598	9738	0.938591086465393
413_028	84	197	873	1154	9738	0.88149517354693
413_029	80	218	254	552	9738	0.943314849044978
413_030	76	198	260	534	9738	0.945163277880468
413_031	71	216	294	581	9738	0.940336824810023
413_032	81	217	281	579	9738	0.940542205791744
413_033	80	211	569	860	9738	0.91168617785993
413_034	86	223	255	564	9738	0.942082563154652
413_035	79	218	261	558	9738	0.942698706099815
413_036	92	213	284	589	9738	0.939515300883138
413_037	84	219	275	578	9738	0.940644896282604
413_038	71	201	279	551	9738	0.943417539535839
413_039	74	207	271	552	9738	0.943314849044978
413_040	97	207	258	562	9738	0.942287944136373
413_041	83	202	690	975	9738	0.899876771410967
413_042	84	189	284	557	9738	0.942801396590676
413_043	68	226	265	559	9738	0.942596015608955
413_044	65	216	274	555	9738	0.943006777572397
413_045	74	225	289	588	9738	0.939617991373999
413_046	75	212	294	581	9738	0.940336824810023
413_047	86	216	299	601	9738	0.938283014992812
413_048	67	192	770	1029	9738	0.894331484904498
413_049	77	211	830	1118	9738	0.885192031217909
413_050	71	201	282	554	9738	0.943109468063257
536_001	88	224	244	556	9738	0.942904087081536
536_003	71	214	254	539	9738	0.944649825426165
536_004	81	214	872	1167	9738	0.880160197165742
536_005	84	210	235	529	9738	0.945676730334771
536_006	93	203	285	581	9738	0.940336824810023
536_007	75	204	458	737	9738	0.924317108235777
536_008	72	211	294	577	9738	0.940747586773465
536_009	88	225	277	590	9738	0.939412610392278
536_010	90	218	218	526	9738	0.945984801807353
536_011	126	210	185	521	9738	0.946498254261655
536_012	89	204	271	564	9738	0.942082563154652
536_013	88	232	270	590	9738	0.939412610392278
536_014	90	224	287	601	9738	0.938283014992812
536_015	83	203	480	766	9738	0.921339084000822
536_016	71	231	298	600	9738	0.938385705483672
536_017	84	213	262	559	9738	0.942596015608955
536_018	92	216	313	621	9738	0.936229205175601
536_019	87	211	261	559	9738	0.942596015608955
536_020	89	221	193	503	9738	0.948346683097145
536_021	70	222	298	590	9738	0.939412610392278
536_022	95	201	255	551	9738	0.943417539535839
536_024	85	212	252	549	9738	0.94362292051756
536_025	69	227	311	607	9738	0.937666872047648
536_026	83	222	314	619	9738	0.936434586157322
536_029	111	237	331	679	9738	0.930273156705689
BAR_001	86	240	266	592	9738	0.939207229410557
BAR_002	85	209	253	547	9738	0.943828301499281
BAR_003	71	209	755	1035	9738	0.893715341959335
BAR_004	81	228	281	590	9738	0.939412610392278
BAR_005	83	237	266	586	9738	0.93982337235572
BAR_006	77	214	267	558	9738	0.942698706099815
BAR_007	86	216	276	578	9738	0.940644896282604
BAR_008	72	205	245	522	9738	0.946395563770795
BAR_009	61	209	291	561	9738	0.942390634627233
BAR_010	89	200	177	466	9738	0.952146231258985
BLP_179n	73	180	538	791	9738	0.918771821729308
BLP_190	63	217	479	759	9738	0.922057917436845
BLP_191	73	198	478	749	9738	0.923084822345451
BLP_192	75	205	436	716	9738	0.926473608543849
BLP_193	75	243	485	803	9738	0.917539535838981
BLP_194	62	201	924	1187	9738	0.878106387348532
BLP_195	74	203	440	717	9738	0.926370918052988
BLP_198n	218	250	241	709	9738	0.927192441979873
BLP_199n	80	188	529	797	9738	0.918155678784145
BLP_212	59	210	466	735	9738	0.924522489217498
BLP_213	88	206	300	594	9738	0.939001848428835
BLP_231	68	205	492	765	9738	0.921441774491682
BLP_233	71	222	354	647	9738	0.933559252413227
BLP_234	80	213	435	728	9738	0.925241322653522
BLP_237	58	218	803	1079	9738	0.889196960361471
BRW_001	78	222	279	579	9738	0.940542205791744
BRW_002	73	225	731	1029	9738	0.894331484904498
BRW_003	88	206	282	576	9738	0.940850277264325
BRW_004	89	208	276	573	9738	0.941158348736907
BRW_005	142	218	423	783	9738	0.919593345656192
CGC_001	86	214	279	579	9738	0.940542205791744
CGC_002	76	205	299	580	9738	0.940439515300883
CGC_003	68	207	253	528	9738	0.945779420825632
CGC_004	70	196	488	754	9738	0.922571369891148
CGC_005	81	218	267	566	9738	0.941877182172931
CGC_006	80	235	259	574	9738	0.941055658246046
CGC_007	90	207	388	685	9738	0.929657013760526
CGC_008	83	226	269	578	9738	0.940644896282604
CGC_009	70	190	706	966	9738	0.900800985828712
CGC_010	74	220	271	565	9738	0.941979872663791
CGC_011	107	201	306	614	9738	0.936948038611625
CTM_008	90	216	250	556	9738	0.942904087081536
FNJ_001	87	216	286	589	9738	0.939515300883138
FNJ_002	89	187	296	572	9738	0.941261039227767
FNJ_003	97	227	492	816	9738	0.916204559457794
