Ind	Poss_Paralogs	Low_Coverage/Errors	Miss_Genotype	Total_Failed	Total_Loci	Prop_Success
413_001	73	194	712	979	9738	0.899466009447525
413_002	67	208	242	517	9738	0.946909016225098
413_003	88	216	264	568	9738	0.94167180119121
413_004	78	191	810	1079	9738	0.889196960361471
413_005	70	205	763	1038	9738	0.893407270486753
413_006	94	198	259	551	9738	0.943417539535839
413_007	92	205	276	573	9738	0.941158348736907
413_008	82	209	290	581	9738	0.940336824810023
413_009	83	227	260	570	9738	0.941466420209489
413_010	75	215	257	547	9738	0.943828301499281
413_011	67	215	293	575	9738	0.940952967755186
413_012	92	217	290	599	9738	0.938488395974533
413_013	87	222	298	607	9738	0.937666872047648
413_014	87	230	245	562	9738	0.942287944136373
413_015	78	220	302	600	9738	0.938385705483672
413_016	75	220	254	549	9738	0.94362292051756
413_017	75	199	888	1162	9738	0.880673649620045
413_018	81	217	228	526	9738	0.945984801807353
413_019	88	219	284	591	9738	0.939309919901417
413_020	91	205	287	583	9738	0.940131443828301
413_021	89	222	304	615	9738	0.936845348120764
413_022	65	194	259	518	9738	0.946806325734237
413_023	75	211	871	1157	9738	0.881187102074348
413_024	95	203	284	582	9738	0.940234134319162
413_025	65	213	893	1171	9738	0.8797494352023
413_026	83	219	272	574	9738	0.941055658246046
413_027	76	216	294	586	9738	0.93982337235572
413_028	83	198	873	1154	9738	0.88149517354693
413_029	80	218	254	552	9738	0.943314849044978
413_030	76	195	260	531	9738	0.94547134935305
413_031	75	219	294	588	9738	0.939617991373999
413_032	78	217	281	576	9738	0.940850277264325
413_033	79	211	569	859	9738	0.911788868350791
413_034	90	221	255	566	9738	0.941877182172931
413_035	80	217	261	558	9738	0.942698706099815
413_036	88	217	284	589	9738	0.939515300883138
413_037	84	217	275	576	9738	0.940850277264325
413_038	72	198	279	549	9738	0.94362292051756
413_039	72	210	271	553	9738	0.943212158554118
413_040	98	211	258	567	9738	0.94177449168207
413_041	82	202	690	974	9738	0.899979461901828
413_042	87	190	284	561	9738	0.942390634627233
413_043	70	231	265	566	9738	0.941877182172931
413_044	68	212	274	554	9738	0.943109468063257
413_045	74	226	289	589	9738	0.939515300883138
413_046	77	212	294	583	9738	0.940131443828301
413_047	80	217	299	596	9738	0.938796467447114
413_048	67	192	770	1029	9738	0.894331484904498
413_049	78	210	830	1118	9738	0.885192031217909
413_050	69	203	282	554	9738	0.943109468063257
536_001	83	224	244	551	9738	0.943417539535839
536_003	71	212	254	537	9738	0.944855206407887
536_004	80	214	872	1166	9738	0.880262887656603
536_005	79	214	235	528	9738	0.945779420825632
536_006	95	204	285	584	9738	0.940028753337441
536_007	76	204	458	738	9738	0.924214417744917
536_008	71	210	294	575	9738	0.940952967755186
536_009	87	222	277	586	9738	0.93982337235572
536_010	89	218	218	525	9738	0.946087492298213
536_011	125	212	185	522	9738	0.946395563770795
536_012	91	206	271	568	9738	0.94167180119121
536_013	90	233	270	593	9738	0.939104538919696
536_014	89	223	287	599	9738	0.938488395974533
536_015	81	200	480	761	9738	0.921852536455124
536_016	77	231	298	606	9738	0.937769562538509
536_017	83	215	262	560	9738	0.942493325118094
536_018	91	217	313	621	9738	0.936229205175601
536_019	85	211	261	557	9738	0.942801396590676
536_020	93	222	193	508	9738	0.947833230642843
536_021	66	224	298	588	9738	0.939617991373999
536_022	97	204	255	556	9738	0.942904087081536
536_024	84	215	252	551	9738	0.943417539535839
536_025	70	227	311	608	9738	0.937564181556788
536_026	84	225	314	623	9738	0.93602382419388
536_029	112	236	331	679	9738	0.930273156705689
BAR_001	87	237	266	590	9738	0.939412610392278
BAR_002	80	210	253	543	9738	0.944239063462723
BAR_003	73	209	755	1037	9738	0.893509960977613
BAR_004	79	227	281	587	9738	0.939720681864859
BAR_005	81	237	266	584	9738	0.940028753337441
BAR_006	78	211	267	556	9738	0.942904087081536
BAR_007	88	214	276	578	9738	0.940644896282604
BAR_008	77	206	245	528	9738	0.945779420825632
BAR_009	60	210	291	561	9738	0.942390634627233
BAR_010	93	202	177	472	9738	0.951530088313822
BLP_179n	69	183	538	790	9738	0.918874512220168
BLP_190	61	220	479	760	9738	0.921955226945985
BLP_191	77	198	478	753	9738	0.922674060382009
BLP_192	77	203	436	716	9738	0.926473608543849
BLP_193	77	236	485	798	9738	0.918052988293284
BLP_194	62	200	924	1186	9738	0.878209077839392
BLP_195	75	206	440	721	9738	0.925960156089546
BLP_198n	215	249	241	705	9738	0.927603203943315
BLP_199n	85	194	529	808	9738	0.917026083384679
BLP_212	61	209	466	736	9738	0.924419798726638
BLP_213	85	205	300	590	9738	0.939412610392278
BLP_231	70	203	492	765	9738	0.921441774491682
BLP_233	76	224	354	654	9738	0.932840418977203
BLP_234	79	211	435	725	9738	0.925549394126104
BLP_237	59	218	803	1080	9738	0.88909426987061
BRW_001	81	219	279	579	9738	0.940542205791744
BRW_002	75	226	731	1032	9738	0.894023413431916
BRW_003	86	204	282	572	9738	0.941261039227767
BRW_004	89	207	276	572	9738	0.941261039227767
BRW_005	144	219	423	786	9738	0.919285274183611
CGC_001	81	211	279	571	9738	0.941363729718628
CGC_002	78	203	299	580	9738	0.940439515300883
CGC_003	68	205	253	526	9738	0.945984801807353
CGC_004	76	197	488	761	9738	0.921852536455124
CGC_005	80	219	267	566	9738	0.941877182172931
CGC_006	77	232	259	568	9738	0.94167180119121
CGC_007	85	208	388	681	9738	0.930067775723968
CGC_008	81	227	269	577	9738	0.940747586773465
CGC_009	70	189	706	965	9738	0.900903676319573
CGC_010	74	219	271	564	9738	0.942082563154652
CGC_011	103	201	306	610	9738	0.937358800575067
CTM_008	91	218	250	559	9738	0.942596015608955
FNJ_001	84	210	286	580	9738	0.940439515300883
FNJ_002	87	188	296	571	9738	0.941363729718628
FNJ_003	90	226	492	808	9738	0.917026083384679
FNJ_004	110	211	628	949	9738	0.902546724173342
FNJ_005	87	186	384	657	9738	0.932532347504621
FNJ_006	91	202	246	539	9738	0.944649825426165
FNJ_007	86	210	240	536	9738	0.944957896898747
FNJ_008	87	219	255	561	9738	0.942390634627233
FNJ_009	86	220	258	564	9738	0.942082563154652
FNJ_010	86	213	244	543	9738	0.944239063462723
FNJ_011	85	198	226	509	9738	0.947730540151982
