Sample	Group	Cluster1	Cluster2	Site
413_001	Delmarva	0	1	413
413_002	Delmarva	0	1	413
413_003	Delmarva	0	1	413
413_004	Delmarva	0	1	413
413_005	Delmarva	0	1	413
413_006	Delmarva	0	1	413
413_007	Delmarva	0	1	413
413_008	Delmarva	0.001	0.999	413
413_009	Delmarva	0	1	413
413_010	Delmarva	0	1	413
413_011	Delmarva	0	1	413
413_012	Delmarva	0	1	413
413_013	Delmarva	0	1	413
413_014	Delmarva	0	1	413
413_015	Delmarva	0	1	413
413_016	Delmarva	0	1	413
413_017	Delmarva	0.001	0.999	413
413_018	Delmarva	0	1	413
413_019	Delmarva	0.031	0.969	413
413_020	Delmarva	0	1	413
413_021	Delmarva	0	1	413
413_022	Delmarva	0	1	413
413_023	Delmarva	0	1	413
413_024	Delmarva	0	1	413
413_025	Delmarva	0	1	413
413_026	Delmarva	0	1	413
413_027	Delmarva	0	1	413
413_028	Delmarva	0	1	413
413_029	Delmarva	0	1	413
413_030	Delmarva	0	1	413
413_031	Delmarva	0	1	413
413_032	Delmarva	0	1	413
413_033	Delmarva	0	1	413
413_034	Delmarva	0	1	413
413_035	Delmarva	0	1	413
413_036	Delmarva	0	1	413
413_037	Delmarva	0	1	413
413_038	Delmarva	0	1	413
413_039	Delmarva	0	1	413
413_040	Delmarva	0	1	413
413_041	Delmarva	0	1	413
413_042	Delmarva	0.017	0.983	413
413_043	Delmarva	0	1	413
413_044	Delmarva	0	1	413
413_045	Delmarva	0	1	413
413_046	Delmarva	0	1	413
413_047	Delmarva	0	1	413
413_048	Delmarva	0	1	413
413_049	Delmarva	0	1	413
413_050	Delmarva	0	1	413
536_001	George’s Bank	0	1	536
536_003	George’s Bank	0	1	536
536_004	George’s Bank	0	1	536
536_005	George’s Bank	0	1	536
536_006	George’s Bank	0	1	536
536_007	George’s Bank	0	1	536
536_008	George’s Bank	0	1	536
536_009	George’s Bank	0	1	536
536_010	George’s Bank	0	1	536
536_011	George’s Bank	0	1	536
536_012	George’s Bank	0	1	536
536_013	George’s Bank	0	1	536
536_014	George’s Bank	0	1	536
536_015	George’s Bank	0	1	536
536_016	George’s Bank	0	1	536
536_017	George’s Bank	0	1	536
536_018	George’s Bank	0	1	536
536_019	George’s Bank	0	1	536
536_020	George’s Bank	0	1	536
536_021	George’s Bank	0	1	536
536_022	George’s Bank	0	1	536
536_024	George’s Bank	0	1	536
536_025	George’s Bank	0	1	536
536_026	George’s Bank	0	1	536
536_029	George’s Bank	0	1	536
BAR_001	Cape Cod Bay	0.444	0.556	BAR
BAR_002	Cape Cod Bay	0.012	0.988	BAR
BAR_003	Cape Cod Bay	0	1	BAR
BAR_004	Cape Cod Bay	0.035	0.965	BAR
BAR_005	Cape Cod Bay	0.014	0.986	BAR
BAR_006	Cape Cod Bay	0	1	BAR
BAR_007	Cape Cod Bay	0.003	0.997	BAR
BAR_008	Cape Cod Bay	0	1	BAR
BAR_009	Cape Cod Bay	0.001	0.999	BAR
BAR_010	Cape Cod Bay	0	1	BAR
BLP_179n	Southern Long Island - East	1	0	BLP
BLP_190	Southern Long Island - East	1	0	BLP
BLP_191	Southern Long Island - East	1	0	BLP
BLP_192	Southern Long Island - East	1	0	BLP
BLP_193	Southern Long Island - East	1	0	BLP
BLP_194	Southern Long Island - East	1	0	BLP
BLP_195	Southern Long Island - East	0.999	0.001	BLP
BLP_198n	Southern Long Island - East	0.91	0.09	BLP
BLP_199n	Southern Long Island - East	1	0	BLP
BLP_212	Southern Long Island - East	1	0	BLP
BLP_213	Southern Long Island - East	0	1	BLP
BLP_231	Southern Long Island - East	1	0	BLP
BLP_233	Southern Long Island - East	0.755	0.245	BLP
BLP_234	Southern Long Island - East	0.994	0.006	BLP
BLP_237	Southern Long Island - East	0.993	0.007	BLP
BRW_001	Cape Cod Bay	0	1	BRW
BRW_002	Cape Cod Bay	0.045	0.955	BRW
BRW_003	Cape Cod Bay	0	1	BRW
BRW_004	Cape Cod Bay	0	1	BRW
BRW_005	Cape Cod Bay	0	1	BRW
CGC_001	Cape Cod Bay	0	1	CGC
CGC_002	Cape Cod Bay	0	1	CGC
CGC_003	Cape Cod Bay	0	1	CGC
CGC_004	Cape Cod Bay	0	1	CGC
CGC_005	Cape Cod Bay	0	1	CGC
CGC_006	Cape Cod Bay	0.244	0.756	CGC
CGC_007	Cape Cod Bay	0.703	0.297	CGC
CGC_008	Cape Cod Bay	0.119	0.881	CGC
CGC_009	Cape Cod Bay	0	1	CGC
CGC_010	Cape Cod Bay	0	1	CGC
CGC_011	Cape Cod Bay	0.032	0.968	CGC
CTM_008	Cape Cod Bay	0.019	0.981	CTM
