rad_haplotyper -v SNP_20231004_n540_basic.recode.vcf -r reference.fasta -p popmap_n540_OTU -x 16 -o haps_20231004_n540_OTU.vcf --genepop haps_20231004_n540_OTU.gp
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
dDocent_Contig_10000	1	2	516	540	0.956	PASSED	0	0	24	
dDocent_Contig_10001	6	7	407	540	0.754	FILTERED	103	15	15	Missing data
dDocent_Contig_10003	1	2	496	540	0.919	PASSED	0	0	44	
dDocent_Contig_10004	2	3	530	540	0.981	PASSED	7	0	3	
dDocent_Contig_10014	1	2	507	540	0.939	PASSED	0	0	33	
dDocent_Contig_10017	1	2	533	540	0.987	PASSED	0	0	7	
dDocent_Contig_10018	5	10	488	540	0.904	PASSED	1	26	25	
dDocent_Contig_10019	4	4	522	540	0.967	PASSED	3	5	10	
dDocent_Contig_10024	5	5	505	540	0.935	PASSED	0	13	22	
dDocent_Contig_10030	2	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10033	2	3	483	540	0.894	FILTERED	0	0	57	Missing data
dDocent_Contig_10036	5	14	484	540	0.896	FILTERED	4	7	45	Missing data
dDocent_Contig_10037	3	2	463	540	0.857	FILTERED	0	1	76	Missing data
dDocent_Contig_10041	2	3	492	540	0.911	PASSED	7	0	41	
dDocent_Contig_10042	4	5	513	540	0.950	PASSED	0	1	26	
dDocent_Contig_10045	2	3	461	540	0.854	FILTERED	1	1	77	Missing data
dDocent_Contig_10046	1	2	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_10048	7	8	517	540	0.957	PASSED	0	1	22	
dDocent_Contig_10050	4	5	537	540	0.994	PASSED	2	1	0	
dDocent_Contig_10054	3	5	420	540	0.778	FILTERED	1	90	29	Missing data
dDocent_Contig_10059	4	5	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10060	4	4	538	540	0.996	PASSED	1	0	1	
dDocent_Contig_10061	2	3	532	540	0.985	PASSED	0	0	8	
dDocent_Contig_10062	1	2	530	540	0.981	PASSED	0	0	10	
dDocent_Contig_10063	5	8	525	540	0.972	PASSED	1	8	6	
dDocent_Contig_10069	2	4	525	540	0.972	PASSED	0	6	9	
dDocent_Contig_10071	3	5	470	540	0.870	FILTERED	1	29	40	Missing data
dDocent_Contig_10074	11	9	480	540	0.889	FILTERED	0	0	60	Missing data
dDocent_Contig_10077	2	3	515	540	0.954	PASSED	0	0	25	
dDocent_Contig_10081	2	3	533	540	0.987	PASSED	0	0	7	
dDocent_Contig_10082	5	5	531	540	0.983	PASSED	1	8	0	
dDocent_Contig_10087	2	3	496	540	0.919	PASSED	0	3	41	
dDocent_Contig_10088	5	6	537	540	0.994	PASSED	1	0	2	
dDocent_Contig_10089	2	4	491	540	0.909	PASSED	1	2	46	
dDocent_Contig_10094	2	4	512	540	0.948	PASSED	0	1	27	
dDocent_Contig_10097	1	2	478	540	0.885	FILTERED	0	0	62	Missing data
dDocent_Contig_10105	4	5	478	540	0.885	FILTERED	0	1	61	Missing data
dDocent_Contig_10110	2	3	516	540	0.956	PASSED	0	0	24	
dDocent_Contig_10112	4	4	538	540	0.996	PASSED	0	1	1	
dDocent_Contig_10113	4	5	482	540	0.893	FILTERED	1	5	52	Missing data
dDocent_Contig_10117	3	4	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10121	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_10123	5	9	539	540	0.998	PASSED	1	0	0	
dDocent_Contig_10125	1	2	488	540	0.904	PASSED	0	0	52	
dDocent_Contig_10126	2	3	395	540	0.731	FILTERED	0	104	41	Missing data
dDocent_Contig_10136	1	2	506	540	0.937	PASSED	0	0	34	
dDocent_Contig_10137	1	2	533	540	0.987	PASSED	0	0	7	
dDocent_Contig_10138	1	2	498	540	0.922	PASSED	0	0	42	
dDocent_Contig_10139	7	6	520	540	0.963	PASSED	4	4	12	
dDocent_Contig_10145	1	2	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_10147	6	7	469	540	0.869	FILTERED	29	2	40	Missing data
dDocent_Contig_10150	1	2	464	540	0.859	FILTERED	0	0	76	Missing data
dDocent_Contig_10152	2	4	525	540	0.972	PASSED	0	1	14	
dDocent_Contig_10153	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10155	5	6	529	540	0.980	PASSED	3	0	8	
dDocent_Contig_10160	5	4	457	540	0.846	FILTERED	1	62	20	Missing data
dDocent_Contig_10161	4	5	533	540	0.987	PASSED	4	0	3	
dDocent_Contig_10162	5	10	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_10164	1	2	471	540	0.872	FILTERED	0	0	69	Missing data
dDocent_Contig_10167	4	5	457	540	0.846	FILTERED	43	8	32	Missing data
dDocent_Contig_10173	1	2	531	540	0.983	PASSED	0	0	9	
dDocent_Contig_10174	3	4	532	540	0.985	PASSED	2	2	4	
dDocent_Contig_10185	2	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10198	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_10200	6	4	495	540	0.917	PASSED	0	0	45	
dDocent_Contig_10202	3	4	496	540	0.919	PASSED	0	0	44	
dDocent_Contig_10203	2	3	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_10205	3	4	537	540	0.994	PASSED	0	0	3	
dDocent_Contig_10211	2	3	392	540	0.726	FILTERED	148	0	0	Missing data
